model,family,placement,aggregation,month,seed,examples_over_epochs,clean_argmax_fraction,donor_BTC_argmax_fraction,donor_ETH_argmax_fraction,donor_XRP_argmax_fraction,donor_SOL_argmax_fraction,donor_DOGE_argmax_fraction,note
gru_shuffled_max_20260910,gru,shuffled,max,2025-12,20260910,2816,0.045454545454545456,0.0,0.03515625,0.057173295454545456,0.09659090909090909,0.765625,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260911,gru,tick,mean,2025-12,20260911,2816,0.045454545454545456,0.0,0.013849431818181818,0.004971590909090909,0.43607954545454547,0.49964488636363635,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260911,gru,tick,max,2025-12,20260911,2816,0.045454545454545456,0.0,0.041548295454545456,0.012428977272727272,0.4442471590909091,0.4563210227272727,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260911,gru,shuffled,mean,2025-12,20260911,2816,0.045454545454545456,0.0,0.004971590909090909,0.02947443181818182,0.08487215909090909,0.8352272727272727,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260911,gru,shuffled,max,2025-12,20260911,2816,0.045454545454545456,0.0,0.028764204545454544,0.04971590909090909,0.09552556818181818,0.7805397727272727,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260912,gru,tick,mean,2025-12,20260912,5632,0.022727272727272728,0.0,0.0012428977272727273,0.0033735795454545455,0.008522727272727272,0.9641335227272727,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260912,gru,tick,max,2025-12,20260912,5632,0.022727272727272728,0.0,0.028586647727272728,0.15252130681818182,0.32191051136363635,0.47425426136363635,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260912,gru,shuffled,mean,2025-12,20260912,5632,0.022727272727272728,0.0,0.0003551136363636364,0.0031960227272727275,0.007279829545454545,0.9664417613636364,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260912,gru,shuffled,max,2025-12,20260912,5632,0.022727272727272728,0.0003551136363636364,0.03515625,0.04616477272727273,0.08309659090909091,0.8125,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260910,tcn,tick,mean,2026-01,20260910,3557,0.03598538093899353,0.0,0.004217036828788305,0.026426764127073378,0.04413831880798426,0.8892324992971605,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260910,tcn,tick,max,2026-01,20260910,3557,0.03598538093899353,0.0,0.0604441945459657,0.1942648299128479,0.18836097835254428,0.5209446162496486,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260910,tcn,shuffled,mean,2026-01,20260910,3557,0.03598538093899353,0.0,0.007028394714647174,0.01490019679505201,0.04357604723081248,0.8985099803204948,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260910,tcn,shuffled,max,2026-01,20260910,3557,0.03598538093899353,0.000562271577171774,0.04554399775091369,0.07450098397526005,0.10851841439415237,0.7348889513635086,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260911,tcn,tick,mean,2026-01,20260911,14228,0.008996345234748383,7.028394714647174e-05,0.09790553837503514,0.02980039359010402,0.06662918189485521,0.7965982569581108,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260911,tcn,tick,max,2026-01,20260911,14228,0.008996345234748383,0.0,0.19068034860837785,0.055383750351419736,0.2420579139724487,0.5028816418330053,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260911,tcn,shuffled,mean,2026-01,20260911,14228,0.008996345234748383,0.0,0.02242057913972449,0.038375035141973574,0.06824571267922407,0.8619623278043295,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260911,tcn,shuffled,max,2026-01,20260911,14228,0.008996345234748383,0.0004919876300253023,0.043365195389373064,0.0701433792521788,0.10936182175991004,0.7676412707337644,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260912,tcn,tick,mean,2026-01,20260912,3557,0.03598538093899353,0.0,0.012651110486364914,0.12145066066910318,0.0798425639583919,0.7500702839471465,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260912,tcn,tick,max,2026-01,20260912,3557,0.03598538093899353,0.0,0.03204947989879112,0.19595164464436324,0.09108799550182738,0.6449254990160247,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260912,tcn,shuffled,mean,2026-01,20260912,3557,0.03598538093899353,0.0,0.01490019679505201,0.028956986224346358,0.06128760191172336,0.8588698341298847,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260912,tcn,shuffled,max,2026-01,20260912,3557,0.03598538093899353,0.000281135788585887,0.03429856620747821,0.05678942929434917,0.10570705650829351,0.7669384312622997,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260910,gru,tick,mean,2026-01,20260910,10671,0.011995126979664511,0.0,0.011339143472964108,0.02970668166057539,0.25255365007965513,0.6944053978071408,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260910,gru,tick,max,2026-01,20260910,10671,0.011995126979664511,0.0,0.014337925217880236,0.0698153874988286,0.5161653078436885,0.38768625245993815,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260910,gru,shuffled,mean,2026-01,20260910,10671,0.011995126979664511,0.0,0.010402024177677818,0.03439227813700684,0.06784743697872739,0.8753631337269234,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260910,gru,shuffled,max,2026-01,20260910,10671,0.011995126979664511,0.00018742385905725798,0.04376347108986974,0.06906569206259956,0.11376628244775559,0.7612220035610533,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260911,gru,tick,mean,2026-01,20260911,3557,0.03598538093899353,0.0,0.023896542029800395,0.010120888389091932,0.03092493674444757,0.8990722518976666,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260911,gru,tick,max,2026-01,20260911,3557,0.03598538093899353,0.0,0.11554680910879955,0.021647455721113297,0.25021085184143943,0.5766095023896542,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260911,gru,shuffled,mean,2026-01,20260911,3557,0.03598538093899353,0.0,0.006466123137475401,0.01208883890919314,0.023896542029800395,0.9215631149845376,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260911,gru,shuffled,max,2026-01,20260911,3557,0.03598538093899353,0.0,0.01743041889232499,0.03317402305313467,0.0669103176834411,0.8464998594321057,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260912,gru,tick,mean,2026-01,20260912,10671,0.011995126979664511,0.0,0.001030831224814919,0.002717645956330241,0.004873020335488708,0.9793833755037016,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260912,gru,tick,max,2026-01,20260912,10671,0.011995126979664511,0.0,0.014337925217880236,0.18479992503045636,0.339986880329866,0.44888014244213287,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260912,gru,shuffled,mean,2026-01,20260912,10671,0.011995126979664511,0.0,0.0015931028019866929,0.005810139630774998,0.013681941711179833,0.966919688876394,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260912,gru,shuffled,max,2026-01,20260912,10671,0.011995126979664511,9.371192952862899e-05,0.03542310936182176,0.059507075250679414,0.0943679130353294,0.7986130634429763,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260910,tcn,tick,mean,2026-02,20260910,8502,0.015055281110326982,0.0,0.0028228652081863093,0.0018819101387908728,0.021994824747118325,0.9582451187955775,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260910,tcn,tick,max,2026-02,20260910,8502,0.015055281110326982,0.0,0.05539872971065632,0.08774406022112444,0.37649964714184897,0.4653022818160433,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260910,tcn,shuffled,mean,2026-02,20260910,8502,0.015055281110326982,0.0,0.006233827334744766,0.016584333098094567,0.02811103269818866,0.934015525758645,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260910,tcn,shuffled,max,2026-02,20260910,8502,0.015172900494001412,0.0007057163020465773,0.04398964949423665,0.06763114561279698,0.10809221359680075,0.7644083745001177,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260911,tcn,tick,mean,2026-02,20260911,8502,0.015055281110326982,0.0,0.0943307457068925,0.10703363914373089,0.11832509997647613,0.6652552340625735,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260911,tcn,tick,max,2026-02,20260911,8502,0.015055281110326982,0.0,0.1699600094095507,0.14220183486238533,0.17819336626676077,0.49458950835097626,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260911,tcn,shuffled,mean,2026-02,20260911,8502,0.015055281110326982,0.0,0.019054340155257588,0.03952011291460833,0.07257115972712302,0.8537991060926841,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260911,tcn,shuffled,max,2026-02,20260911,8502,0.015055281110326982,0.00035285815102328866,0.045401082098329805,0.07104210773935545,0.10479887085391673,0.7633498000470478,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260912,tcn,tick,mean,2026-02,20260912,8502,0.015055281110326982,0.0,0.03787344154316631,0.11938367442954599,0.10809221359680075,0.71959538932016,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260912,tcn,tick,max,2026-02,20260912,8502,0.015055281110326982,0.0,0.12208892025405788,0.14702422959303693,0.1325570454010821,0.5832745236414961,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260912,tcn,shuffled,mean,2026-02,20260912,8502,0.015055281110326982,0.00011761938367442955,0.012467654669489531,0.03387438249823571,0.061750176429075515,0.8767348859091978,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260912,tcn,shuffled,max,2026-02,20260912,8502,0.015055281110326982,0.0002352387673488591,0.04269583627381793,0.07210068219242531,0.11126793695601035,0.7586450247000706,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260910,gru,tick,mean,2026-02,20260910,8502,0.015055281110326982,0.0,0.025523406257351212,0.029404845918607387,0.21253822629969418,0.7174782404140202,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260910,gru,tick,max,2026-02,20260910,8502,0.015055281110326982,0.0,0.03446247941660786,0.08692072453540343,0.4200188191013879,0.4435426958362738,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260910,gru,shuffled,mean,2026-02,20260910,8502,0.015055281110326982,0.0,0.008939073159256645,0.03081627852270054,0.06680780992707598,0.8783815572806398,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260910,gru,shuffled,max,2026-02,20260910,8502,0.015055281110326982,0.00011761938367442955,0.04187250058809692,0.07410021171489062,0.10879792989884733,0.7600564573041637,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260911,gru,tick,mean,2026-02,20260911,8502,0.015055281110326982,0.0,0.011056222065396377,0.07715831569042578,0.042107739355445775,0.8546224417784051,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260911,gru,tick,max,2026-02,20260911,8502,0.015055281110326982,0.0,0.08386262055986826,0.17995765702187722,0.30263467419430723,0.41848976711362035,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260911,gru,shuffled,mean,2026-02,20260911,8502,0.015055281110326982,0.0,0.00258762644083745,0.010820983298047518,0.03705010585744531,0.9344860032933427,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260911,gru,shuffled,max,2026-02,20260911,8502,0.015055281110326982,0.0,0.039755351681957186,0.0641025641025641,0.09985885673959069,0.781227946365561,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260912,gru,tick,mean,2026-02,20260912,8502,0.015055281110326982,0.0,0.002117148906139732,0.007292401787814632,0.008468595624558928,0.9670665725711597,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260912,gru,tick,max,2026-02,20260912,8502,0.015055281110326982,0.0,0.022230063514467185,0.25299929428369794,0.2585274053163961,0.4511879557751117,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260912,gru,shuffled,mean,2026-02,20260912,8502,0.015055281110326982,0.0,0.0015290519877675841,0.0045871559633027525,0.013526229122559397,0.9653022818160433,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260912,gru,shuffled,max,2026-02,20260912,8502,0.015055281110326982,0.00011761938367442955,0.04316631380851564,0.0661020936250294,0.103505057633498,0.7720536344389556,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260910,tcn,tick,mean,2026-03,20260910,63999,0.0020000312504882887,0.0,0.0017187768558883732,0.0029219206550102346,0.31737995906186034,0.6759793121767528,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260910,tcn,tick,max,2026-03,20260910,63999,0.0020000312504882887,0.001484398193721777,0.05612587696682761,0.1251738308411069,0.33447397615587743,0.480741886591978,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260910,tcn,shuffled,mean,2026-03,20260910,63999,0.0020000312504882887,0.0,0.02714104907889186,0.046719479991874875,0.0811575180862201,0.8429819215925248,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260910,tcn,shuffled,max,2026-03,20260910,63999,0.0020156564946327287,0.0005312583009109517,0.04368818262785356,0.07478241847528867,0.11834559914998671,0.7606368849513274,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260911,tcn,tick,mean,2026-03,20260911,49230,0.0026000406256347754,2.0312817387771683e-05,0.04621165955718058,0.09494210847044485,0.16725573837091204,0.6889701401584399,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260911,tcn,tick,max,2026-03,20260911,49230,0.0026000406256347754,0.00034531789559211863,0.17349177330895796,0.15254925858216534,0.22364411943936624,0.4473694901482836,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260911,tcn,shuffled,mean,2026-03,20260911,49230,0.0026000406256347754,0.0,0.019845622587852937,0.039386552914889295,0.07621369083891935,0.8619540930327036,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260911,tcn,shuffled,max,2026-03,20260911,49230,0.0026000406256347754,0.0006703229737964656,0.05258988421694089,0.07944342880357505,0.12303473491773309,0.7416615884623198,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260912,tcn,tick,mean,2026-03,20260912,34461,0.003714343750906822,2.9018310553959548e-05,0.006848321290734453,0.10313107570877224,0.17765009721134037,0.7086271437276922,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260912,tcn,tick,max,2026-03,20260912,34461,0.003714343750906822,0.00023214648443167638,0.06462377760366791,0.23057949566176258,0.21604132207422883,0.4848089144250022,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260912,tcn,shuffled,mean,2026-03,20260912,34461,0.003714343750906822,0.0,0.01662749194741882,0.029511621833376862,0.0633469719392937,0.8867995705290038,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260912,tcn,shuffled,max,2026-03,20260912,34461,0.003714343750906822,0.0008415310060648269,0.04492034473752938,0.07039842140390587,0.10739676736020429,0.7727285917413889,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260910,gru,tick,mean,2026-03,20260910,19692,0.006500101564086939,0.0,0.008023562868169815,0.015843997562461912,0.29946171033922403,0.6701706276660573,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260910,gru,tick,max,2026-03,20260910,19692,0.006500101564086939,0.0,0.06332520820637823,0.09049360146252285,0.4619642494413975,0.37771683932561445,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260910,gru,shuffled,mean,2026-03,20260910,19692,0.006500101564086939,0.0,0.013101767215112737,0.03509039203737559,0.07236441194393663,0.8729433272394881,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260910,gru,shuffled,max,2026-03,20260910,19692,0.0065508836075563685,0.0005078204346942921,0.045906967296364,0.07713792403006298,0.12400975015234612,0.7458866544789763,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260911,gru,tick,mean,2026-03,20260911,34461,0.003714343750906822,0.0,0.004526856446417689,0.0375206755462697,0.20002321464844317,0.7542149096079627,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260911,gru,tick,max,2026-03,20260911,34461,0.003714343750906822,0.00023214648443167638,0.060648269057775456,0.13589274832419257,0.3862917500943095,0.41322074228838396,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260911,gru,shuffled,mean,2026-03,20260911,34461,0.003714343750906822,0.0,0.01152026928992194,0.0268999738835205,0.05971968312004875,0.8981457299556019,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260911,gru,shuffled,max,2026-03,20260911,34461,0.003714343750906822,0.00023214648443167638,0.041525202402716115,0.0690055424973158,0.10905081106177998,0.7764719538028496,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260912,gru,tick,mean,2026-03,20260912,19692,0.006500101564086939,0.0,0.0017265894779605931,0.003656307129798903,0.028539508429819217,0.9595774933983343,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260912,gru,tick,max,2026-03,20260912,19692,0.006500101564086939,0.0,0.04296160877513711,0.14417022140970953,0.3891935811497055,0.41717448710136096,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260912,gru,shuffled,mean,2026-03,20260912,19692,0.006500101564086939,0.0,0.004062563477554337,0.009800934389599837,0.02488320130002031,0.9547531992687386,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_max_20260912,gru,shuffled,max,2026-03,20260912,19692,0.006500101564086939,0.00015234613040828764,0.05387974812106439,0.07673166768230753,0.11420881576274629,0.7485273207393865,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
