name,stage,metric,difference,low95,high95
tcn_max_minus_mean_shuffled,cal,stress_excess,-0.03066881414109744,-0.04035197136563959,-0.021214333399848437
tcn_max_minus_mean_shuffled,cal,sensitivity_h1,-0.41305227404085865,-0.5486343998445491,-0.29521348876356884
tcn_max_minus_mean_shuffled,raw,clean_tail,0.018833253937598212,0.008519395546405626,0.02927943008000072
tcn_max_minus_mean_shuffled,raw,stress_excess,-0.03479712182190094,-0.04382540245901407,-0.02592042487397128
tcn_max_minus_mean_shuffled,raw,sensitivity_h1,-0.41305227404085865,-0.548634399844549,-0.2952134887635688
tcn_tick_minus_shuffled_mean,cal,clean_tail,-0.0007552050110748659,-0.002931183218483104,0.0010087940002776455
tcn_tick_minus_shuffled_mean,cal,stress_excess,0.00022838262260377622,-8.4230413825093e-05,0.0005447862181451852
tcn_tick_minus_shuffled_mean,cal,sensitivity_h1,-0.006633827766045525,-0.012094149007014844,-0.0023446369022400377
tcn_tick_minus_shuffled_mean,raw,clean_tail,-0.000745029415667839,-0.0021450940792657265,0.0002936793561598297
tcn_tick_minus_shuffled_mean,raw,stress_excess,0.00035047960970926263,-8.254085008003106e-05,0.0009264508405369349
tcn_tick_minus_shuffled_mean,raw,sensitivity_h1,-0.006633827766045532,-0.01209414900701487,-0.0023446369022400502
tcn_tick_minus_shuffled_max,cal,clean_tail,-0.0160171723974454,-0.025858598410324424,-0.007644487198873694
tcn_tick_minus_shuffled_max,cal,stress_excess,-0.016325046226575365,-0.01935913610071683,-0.01296795470324891
tcn_tick_minus_shuffled_max,cal,sensitivity_h1,-0.25980241401192894,-0.3137066429556521,-0.20274084022511657
tcn_tick_minus_shuffled_max,raw,clean_tail,-0.014374329635512441,-0.02225467445405481,-0.006960655028945547
tcn_tick_minus_shuffled_max,raw,stress_excess,-0.016516937241920042,-0.019678338288485867,-0.013073956853925825
tcn_tick_minus_shuffled_max,raw,sensitivity_h1,-0.25980241401192894,-0.31370664295565204,-0.20274084022511657
gru_training_main,cal,clean_tail,0.003907377404526788,-0.0007510133653451386,0.00870803430212045
gru_training_main,cal,stress_excess,-0.04105777931137664,-0.04753947442046995,-0.03451013084175016
gru_training_main,cal,sensitivity_h1,-0.5745976254678044,-0.6962229451958508,-0.47429062149841283
gru_training_main,raw,clean_tail,0.00379054338544362,-0.0015618560859999523,0.009436152821214879
gru_training_main,raw,stress_excess,-0.045060626510006245,-0.05243685065812872,-0.038009923407532745
gru_training_main,raw,sensitivity_h1,-0.5745976254678044,-0.6962229451958509,-0.4742906214984129
gru_financial_main,cal,clean_tail,-0.002559659484110359,-0.00587958690608012,0.0006140213604264418
gru_financial_main,cal,stress_excess,-0.009393250109152899,-0.010065225732363948,-0.008709843931165003
gru_financial_main,cal,sensitivity_h1,-0.15346546845153958,-0.15954963049733523,-0.1483400665341862
gru_financial_main,raw,clean_tail,-0.0018586649215060643,-0.005141822675271325,0.0012942317885517088
gru_financial_main,raw,stress_excess,-0.009783914484474014,-0.01054978703720902,-0.0090651390157063
gru_financial_main,raw,sensitivity_h1,-0.15346546845153952,-0.15954963049733512,-0.1483400665341862
gru_interaction,cal,clean_tail,-0.0048302008654549766,-0.010772377309402618,0.000778237206250955
gru_interaction,cal,stress_excess,-0.016125688239016344,-0.017803991757020892,-0.014262458796160242
gru_interaction,cal,sensitivity_h1,-0.2644193654374049,-0.27813739659432624,-0.2484110733441908
gru_interaction,raw,clean_tail,-0.0030179454156056694,-0.008760276465903648,0.002640407337379917
gru_interaction,raw,stress_excess,-0.01684380823530837,-0.018751936191733064,-0.01477466767740705
gru_interaction,raw,sensitivity_h1,-0.26441936543740496,-0.27813739659432635,-0.24841107334419088
gru_max_minus_mean_tick,cal,clean_tail,0.0014922769717993012,-0.0017680529291726331,0.004830587032785237
gru_max_minus_mean_tick,cal,stress_excess,-0.049120623430884816,-0.05563541383989021,-0.04262680802319391
gru_max_minus_mean_tick,cal,sensitivity_h1,-0.7068073081865068,-0.820860350472174,-0.6123327366435677
gru_max_minus_mean_tick,raw,clean_tail,0.0022815706776407856,-0.0021325741492592425,0.0068617016228959184
gru_max_minus_mean_tick,raw,stress_excess,-0.053482530627660424,-0.060619366645068645,-0.046535805291783
gru_max_minus_mean_tick,raw,sensitivity_h1,-0.7068073081865068,-0.8208603504721741,-0.6123327366435677
gru_max_minus_mean_shuffled,cal,clean_tail,0.006322477837254276,-0.0007198857065994716,0.013464183429069163
gru_max_minus_mean_shuffled,cal,stress_excess,-0.032994935191868476,-0.03989112393501907,-0.026332983992461863
gru_max_minus_mean_shuffled,cal,sensitivity_h1,-0.4423879427491019,-0.571707602039675,-0.3360203341717494
gru_max_minus_mean_shuffled,raw,clean_tail,0.005299516093246455,-0.002305859388145833,0.012980647692826332
gru_max_minus_mean_shuffled,raw,stress_excess,-0.036638722392352066,-0.044308700049564144,-0.029377589975369805
gru_max_minus_mean_shuffled,raw,sensitivity_h1,-0.4423879427491019,-0.571707602039675,-0.3360203341717494
gru_tick_minus_shuffled_mean,cal,clean_tail,-0.0001445590513828707,-0.0006646156218469847,0.00036934600578986864
gru_tick_minus_shuffled_mean,cal,stress_excess,-0.0013304059896447288,-0.002011266683559985,-0.0007855404775520609
gru_tick_minus_shuffled_mean,cal,sensitivity_h1,-0.02125578573283712,-0.032345422115514985,-0.012417564449123147
gru_tick_minus_shuffled_mean,raw,clean_tail,-0.00034969221370323086,-0.0008954809559979457,9.107760507581913e-05
gru_tick_minus_shuffled_mean,raw,stress_excess,-0.0013620103668198307,-0.0021751548951081607,-0.0007153100264546479
gru_tick_minus_shuffled_mean,raw,sensitivity_h1,-0.021255785732837047,-0.03234542211551483,-0.012417564449123087
gru_tick_minus_shuffled_max,cal,clean_tail,-0.004974759916837846,-0.011222953779511175,0.0010616544050630712
gru_tick_minus_shuffled_max,cal,stress_excess,-0.017456094228661068,-0.018889106489017298,-0.01597107740613135
gru_tick_minus_shuffled_max,cal,sensitivity_h1,-0.28567515117024206,-0.2944861134460244,-0.2765294461272558
gru_tick_minus_shuffled_max,raw,clean_tail,-0.0033676376293088994,-0.00951846313730718,0.0026124140776712635
gru_tick_minus_shuffled_max,raw,stress_excess,-0.0182058186021282,-0.019873220718085907,-0.01661041358034542
gru_tick_minus_shuffled_max,raw,sensitivity_h1,-0.28567515117024206,-0.2944861134460244,-0.2765294461272559
gru_minus_tcn_interaction,cal,clean_tail,0.010431766520915558,0.004815551694309759,0.01587650090707956
gru_minus_tcn_interaction,cal,stress_excess,0.00042774061016280187,-0.001916925094772805,0.0027974971013172514
gru_minus_tcn_interaction,cal,sensitivity_h1,-0.011250779191521496,-0.06227352533588021,0.038753422569905195
gru_minus_tcn_interaction,raw,clean_tail,0.01061135480423893,0.005482159944414017,0.0156482013335321
gru_minus_tcn_interaction,raw,stress_excess,2.360861632093594e-05,-0.0023955220024588606,0.002470507810937287
gru_minus_tcn_interaction,raw,sensitivity_h1,-0.011250779191521593,-0.06227352533588032,0.03875342256990512
tcn_tick_max_vs_clean,cal,clean_tail,-0.0022868065391484955,-0.006346059370442165,0.0013984162503626711
tcn_tick_max_vs_clean,cal,stress_excess,-0.04980082641809787,-0.059815838422006336,-0.03981023860259293
tcn_tick_max_vs_clean,cal,sensitivity_h1,-0.708485642674652,-0.8326329665110287,-0.5871776872688874
tcn_tick_max_vs_clean,raw,clean_tail,-0.0007290181054448888,-0.005223364137117901,0.0034990127666482958
tcn_tick_max_vs_clean,raw,stress_excess,-0.055877336596066855,-0.06620742242664486,-0.04528525306479918
tcn_tick_max_vs_clean,raw,sensitivity_h1,-0.708485642674652,-0.8326329665110287,-0.5871776872688874
tcn_tick_max_vs_qr,cal,clean_tail,0.016845401169915234,0.0022728701389149817,0.03235834673263522
tcn_tick_max_vs_qr,cal,stress_excess,-0.09898269566962473,-0.10682671933636896,-0.09048816977156604
tcn_tick_max_vs_qr,cal,sensitivity_h1,-1.4697106243836047,-1.5321627226940877,-1.3973861439059647
tcn_tick_max_vs_qr,raw,clean_tail,0.014348868281644543,-0.004985672916930481,0.0359250992473467
tcn_tick_max_vs_qr,raw,stress_excess,-0.09881189039682634,-0.10567187255610011,-0.09116457151032836
tcn_tick_max_vs_qr,raw,sensitivity_h1,-1.4697106243836047,-1.532162722694088,-1.3973861439059647
gru_tick_max_vs_clean,cal,clean_tail,0.0004948935904193912,-0.003056792678715572,0.003871496869811715
gru_tick_max_vs_clean,cal,stress_excess,-0.051988433727225496,-0.059303326623532694,-0.04481522650212002
gru_tick_max_vs_clean,cal,sensitivity_h1,-0.752250343243544,-0.8936991969035212,-0.6366053853674278
gru_tick_max_vs_clean,raw,clean_tail,0.000782837457468917,-0.0035105131872073736,0.0049458727623511185
gru_tick_max_vs_clean,raw,stress_excess,-0.05666478927362905,-0.0652180894950615,-0.048609622971257344
gru_tick_max_vs_clean,raw,sensitivity_h1,-0.752250343243544,-0.8936991969035212,-0.6366053853674277
gru_tick_max_vs_qr,cal,clean_tail,-0.002472519589323053,-0.013191420502885113,0.009072346465486584
gru_tick_max_vs_qr,cal,stress_excess,-0.10079843126477214,-0.10985505111579538,-0.09053780542205231
gru_tick_max_vs_qr,cal,sensitivity_h1,-1.5066904776361962,-1.6090816604160159,-1.3936436892963504
gru_tick_max_vs_qr,raw,clean_tail,-0.011094321622086805,-0.02256585188883278,0.0009809851243073402
gru_tick_max_vs_qr,raw,stress_excess,-0.10065379541760898,-0.10922128629077191,-0.0908515797909763
gru_tick_max_vs_qr,raw,sensitivity_h1,-1.5066904776361962,-1.6090816604160156,-1.3936436892963504
